         0       1   8071.323D0      0.002D0                  
         1       1   7288.969D0      0.001D0                                     
         1       2  13135.720D0      0.001D0                                     
         1       3  14949.794D0      0.001D0                                     
         1       4  25927.784D0    109.545D0                                     
         1       5  36833.979D0    947.692D0                                     
         1       6  41863.763D0    264.906D0                                     
         2       3  14931.204D0      0.001D0                                     
         2       4   2424.911D0      0.001D0                                     
         2       5  11386.234D0     50.000D0                                     
         2       6  17594.123D0      1.014D0                                     
         2       7  26110.264D0     30.004D0                                     
         2       8  31597.983D0      7.077D0                                     
         2       9  40818.362D0     62.471D0                                     
         2      10  48810.011D0     70.001D0                                     
         3       4  25320.173D0    212.132D0                                     
         3       5  11678.880D0     50.000D0                                     
         3       6  14086.312D0      0.475D0                                     
         3       7  14907.673D0      0.473D0                                     
         3       8  20946.195D0      0.488D0                                     
         3       9  24953.903D0      1.946D0                                     
         3      10  33050.226D0     15.126D0                                     
         3      11  40795.860D0     27.101D0                                     
         3      12  50096.000D0    997.000D0                                     
         4       5  37996.000D0   3996.000D0                                     
         4       6  18374.465D0      5.468D0                                     
         4       7  15769.489D0      0.472D0                                     
         4       8   4941.662D0      0.035D0                                     
         4       9  11347.584D0      0.396D0                                     
         4      10  12606.577D0      0.400D0                                     
         4      11  20173.970D0      6.356D0                                     
         4      12  25076.402D0     15.005D0                                     
         4      13  33658.445D0    502.494D0                                     
         4      14  39882.396D0    108.061D0                                     
         5       7  27867.864D0     70.712D0                                     
         5       8  22921.002D0      1.107D0                                     
         5       9  12415.701D0      0.983D0                                     
         5      10  12050.761D0      0.370D0                                     
         5      11   8667.984D0      0.420D0                                     
         5      12  13368.901D0      1.400D0                                     
         5      13  16562.209D0      1.085D0                                     
         5      14  23663.730D0     21.213D0                                     
         5      15  28966.936D0     22.375D0                                     
         5      16  37081.686D0     60.000D0                                     
         5      17  43716.310D0    136.069D0                                     
         5      18  52322.000D0    801.000D0                                     
         5      19  59364.000D0    401.000D0                                     
         6       8  35094.056D0     23.068D0                                     
         6       9  28913.650D0      2.178D0                                     
         6      10  15698.568D0      0.381D0                                     
         6      11  10650.531D0      0.952D0                                     
         6      12      0.000D0      0.000D0                                     
         6      13   3125.011D0      0.001D0                                     
         6      14   3019.892D0      0.004D0                                     
         6      15   9873.143D0      0.800D0                                     
         6      16  13694.117D0      3.578D0                                     
         6      17  21036.589D0     17.383D0                                     
         6      18  24924.036D0     30.010D0                                     
         6      19  32833.383D0    107.707D0                                     
         6      20  37560.063D0    200.849D0                                     
         6      21  45960.000D0    503.000D0                                     
         6      22  52583.000D0    904.000D0                                     
         7      10  39699.000D0    400.000D0                                     
         7      11  24960.520D0    180.000D0                                     
         7      12  17338.083D0      1.000D0                                     
         7      13   5345.456D0      0.270D0                                     
         7      14   2863.417D0      0.001D0                                     
         7      15    101.438D0      0.001D0                                     
         7      16   5683.432D0      2.622D0                                     
         7      17   7870.819D0     15.021D0                                     
         7      18  13117.136D0     20.016D0                                     
         7      19  15860.449D0     16.423D0                                     
         7      20  21766.492D0     52.596D0                                     
         7      21  25231.909D0     89.365D0                                     
