 1.4750 1.4200 1.3630 1.3200 1.2650 1.2220 1.1980 1.1810 1.1770 1.1700
 1.1640 1.1560 1.1550 1.1530 1.1500 1.1500 1.1500 1.1500 8.000015.9950 O
  .8850  .8720  .8570  .8460  .8340  .8270  .8320  .8470  .8660  .8890
  .9140  .9380 1.0080 1.1080 1.2120 1.3080 1.3770 1.4080 1.4020 1.3690
 1.3200 1.2690 1.2120 1.1760 1.1240 1.0940 1.0840 1.0900 1.0930 1.1000
 1.0970 1.0950 1.0920 1.0890 1.0880 1.0880 1.0880 1.088010.000019.9920NE
  .5840  .5890  .5950  .6070  .6250  .6460  .6710  .6970  .7220  .7470
  .7710  .7950  .8510  .9230  .9850 1.0340 1.0550 1.0510 1.0310 1.0010
  .9640  .9280  .8940  .8710  .8430  .8350  .8420  .8620  .8850  .9000
  .9090  .9140  .9180  .9190  .9200  .9200  .9200  .920018.000039.9620AR
  .3580  .3650  .3710  .3880  .4060  .4280  .4520  .4740  .4920  .5120
  .5300  .5490  .5860  .6330  .6700  .6990  .7040  .6950  .6800  .6640
  .6450  .6280  .6100  .6000  .5920  .5990  .6150  .6400  .6730  .6900
  .7070  .7140  .7220  .7230  .7250  .7270  .7290  .731036.000083.9120KR
  .2540  .2600  .2700  .2830  .3060  .3280  .3520  .3730  .3910  .4080
  .4240  .4370  .4670  .5040  .5320  .5480  .5490  .5410  .5310  .5180
  .5020  .4900  .4820  .4780  .4780  .4870  .5050  .5330  .5600  .5810
  .5970  .6070  .6160  .6200  .6230  .6250  .6270  .629054.0000131.90 XE
  .1676  .1726  .1806  .2050  .2130  .2330  .2550  .2740  .2890  .3030
  .3140  .3240  .3470  .3740  .3930  .4030  .4010  .3940  .3870  .3790
  .3710  .3640  .3580  .3550  .3610  .3770  .3970  .4240  .4490  .4700
  .4900  .5000  .5090  .5150  .5200  .5230  .5250  .527086.0000210.99 RN
 1.3410 1.3330 1.3220 1.3100 1.3000 1.2950 1.2940 1.3010 1.3140 1.3320
 1.3520 1.3730 1.4340 1.5270 1.6140 1.6940 1.7620 1.7930 1.7930 1.7620
 1.7150 1.6640 1.6150 1.5730 1.4970 1.4250 1.3800 1.3460 1.3230 1.3060
 1.2940 1.2840 1.2790 1.2740 1.2680 1.2640 1.2610 1.2580 4.5450 8.7292M-
 1.3410 1.3330 1.3220 1.3100 1.3000 1.2950 1.2940 1.3010 1.3140 1.3320
 1.3520 1.3730 1.4340 1.5270 1.6140 1.6940 1.7620 1.7930 1.7930 1.7620
 1.7150 1.6640 1.6150 1.5730 1.4970 1.4250 1.3800 1.3460 1.3230 1.3060
 1.2940 1.2840 1.2790 1.2740 1.2680 1.2640 1.2610 1.2580 4.5450 8.7292M-
 1.3410 1.3330 1.3220 1.3100 1.3000 1.2950 1.2940 1.3010 1.3140 1.3320
 1.3520 1.3730 1.4340 1.5270 1.6140 1.6940 1.7620 1.7930 1.7930 1.7620
 1.7150 1.6640 1.6150 1.5730 1.4970 1.4250 1.3800 1.3460 1.3230 1.3060
 1.2940 1.2840 1.2790 1.2740 1.2680 1.2640 1.2610 1.2580 4.5450 8.7292M-
 1.7060 1.6960 1.6810 1.6670 1.6580 1.6520 1.6500 1.6610 1.6760 1.6970
 1.7190 1.7460 1.8250 1.9400 2.0480 2.1470 2.2380 2.2830 2.2890 2.2610
 2.2040 2.1360 2.0710 2.0150 1.9010 1.7830 1.7000 1.6290 1.5770 1.5390
 1.5150 1.4990 1.4890 1.4800 1.4710 1.4640 1.4590 1.4530 2.6670 4.6719P-
 1.7060 1.6960 1.6810 1.6670 1.6580 1.6520 1.6500 1.6610 1.6760 1.6970
 1.7190 1.7460 1.8250 1.9400 2.0480 2.1470 2.2380 2.2830 2.2890 2.2610
 2.2040 2.1360 2.0710 2.0150 1.9010 1.7830 1.7000 1.6290 1.5770 1.5390
 1.5150 1.4990 1.4890 1.4800 1.4710 1.4640 1.4590 1.4530 2.6670 4.6719P-
 1.7060 1.6960 1.6810 1.6670 1.6580 1.6520 1.6500 1.6610 1.6760 1.6970
 1.7190 1.7460 1.8250 1.9400 2.0480 2.1470 2.2380 2.2830 2.2890 2.2610
 2.2040 2.1360 2.0710 2.0150 1.9010 1.7830 1.7000 1.6290 1.5770 1.5390
 1.5150 1.4990 1.4890 1.4800 1.4710 1.4640 1.4590 1.4530 2.6670 4.6719P-
 1.3020 1.2810 1.2490 1.2180 1.1900 1.1700 1.1620 1.1680 1.1880 1.2160
 1.2480 1.2830 1.3790 1.5300 1.6850 1.8480 1.9980 2.0760 2.1020 2.0670
 1.9930 1.9140 1.8340 1.7720 1.6770 1.5880 1.5250 1.4700 1.4350 1.4070
 1.3880 1.3730 1.3680 1.3630 1.3570 1.3540 1.3520 1.3500 3.3330 6.0035W-
 1.3020 1.2810 1.2490 1.2180 1.1900 1.1700 1.1620 1.1680 1.1880 1.2160
 1.2480 1.2830 1.3790 1.5300 1.6850 1.8480 1.9980 2.0760 2.1020 2.0670
 1.9930 1.9140 1.8340 1.7720 1.6770 1.5880 1.5250 1.4700 1.4350 1.4070
 1.3880 1.3730 1.3680 1.3630 1.3570 1.3540 1.3520 1.3500 3.3330 6.0035W-
 1.3020 1.2810 1.2490 1.2180 1.1900 1.1700 1.1620 1.1680 1.1880 1.2160
 1.2480 1.2830 1.3790 1.5300 1.6850 1.8480 1.9980 2.0760 2.1020 2.0670
 1.9930 1.9140 1.8340 1.7720 1.6770 1.5880 1.5250 1.4700 1.4350 1.4070
 1.3880 1.3730 1.3680 1.3630 1.3570 1.3540 1.3520 1.3500 3.3330 6.0035W-
   0.1630842  -0.3535290   0.0206004   1.1226666  -0.2548969 21.0078 H ION   1.A
  -0.0639928   0.5070352  -0.1965635   0.7713559  -0.1477040 21.0078 H ION   1.B
   0.1433955  -0.3568046   0.0139265   1.3178708  -0.3492183 24.0026HE ION   2.A
  -0.0595560   0.4906428  -0.1970748   0.7945414  -0.1557096 24.0026HE ION   2.B
   0.1069425  -0.4542354   0.1359611   1.6142388  -0.5587023 27.0160LI ION   3.A
  -0.0066487   0.2968559  -0.1821453   0.9782337  -0.2113091 27.0160LI ION   3.B
   0.0698101  -0.5829663   0.3203444   1.9352594  -0.8352915 29.0122BE ION   4.A
  -0.0100365   0.3099405  -0.2060122   1.0461531  -0.2344286 29.0122BE ION   4.B
   0.0807079  -0.7274516   0.4211059   2.1501542  -0.9867456 211.009 B ION   5.A
   0.0023590   0.2660785  -0.2191082   1.1368266  -0.2583746 211.009 B ION   5.B
   0.0460597  -0.8077556   0.5884218   2.4738466  -1.3202931 212.000 C ION   6.A
   0.0156360   0.2187754  -0.2245159   1.2012257  -0.2688137 212.000 C ION   6.B
   0.1214151  -0.9004745   0.4563522   2.5695026  -1.2379911 214.003 N ION   7.A
   0.0262517   0.1784666  -0.2312778   1.2844677  -0.2966370 214.003 N ION   7.B
   0.0614553  -1.0934773   0.8125439   3.0573266  -1.8014595 215.995 O ION   8.A
   0.1408028  -0.2333470  -0.2298341   1.7158530  -0.3695708 215.995 O ION   8.B
   0.0430937  -1.3919317   1.1711645   3.6466820  -2.4121216 218.998 F ION   9.A
   0.4312545  -1.2782950  -0.2168849   2.7314070  -0.4660653 218.998 F ION   9.B
   0.0114358  -1.8933240   1.7965450   4.5756582  -3.4295349 219.992NE ION  10.A
   0.4682461  -1.4194390  -0.2356108   3.0176235  -0.5295434 219.992NE ION  10.B
  -0.1532559  -2.4215855   2.9653149   5.6291154  -5.0524969 222.990NA ION  11.A
   0.9165989  -3.0677466  -0.3280051   5.5674057  -1.2787612 222.990NA ION  11.B
  -0.7159330  -3.3317391   6.1052723   7.4689941  -9.0343553 223.985MG ION  12.A
   1.4904795  -5.1746288  -0.5359740   9.1834061  -2.3772511 223.985MG ION  12.B
  -1.5649832  -4.7219703  11.1129341  10.2260624 -15.5161396 226.982AL ION  13.A
   1.8961081  -6.6726046  -0.7891205  12.3757529  -3.5080099 226.982AL ION  13.B
  -3.3898220  -7.4760557  21.9235764  15.6011004 -29.5060890 227.977SI ION  14.A
   2.2318840  -7.9166484  -1.0695289  15.4515911  -4.6992934 227.977SI ION  14.B
  -9.9761286 -16.5669763  60.6493053  33.0977483 -79.3903141 230.974 P ION  15.A
   2.7433658  -9.8060291  -1.4614616  19.9371710  -6.4222392 230.974 P ION  15.B
  62.5160789  77.7898493-362.7835732-146.8757000 464.0765305 131.972 S ION  16.A
