DATA
      2.00   1722.13
      4.00   2968.21
      6.00   3840.13
      8.00   4419.82
     10.00   4773.02
     12.00   4952.35
     14.00   4999.77
     16.00   4948.65
     18.00   4825.42
     20.00   4650.88
     22.00   4441.36
     24.00   4209.52
     26.00   3965.16
     28.00   3715.74
     30.00   3466.86
     32.00   3222.69
     34.00   2986.20
     36.00   2759.50
     38.00   2543.96
     40.00   2340.39
     42.00   2149.22
     44.00   1970.52
     46.00   1804.14
     48.00   1649.76
     50.00   1506.94
     52.00   1375.14
     54.00   1253.78
     56.00   1142.24
     58.00   1039.91
     60.00    946.17
     62.00    860.40
     64.00    782.01
     66.00    710.46
     68.00    645.19
     70.00    585.71
     72.00    531.54
     74.00    482.25
     76.00    437.41
     78.00    396.64
     80.00    359.60
     82.00    325.96
     84.00    295.41
     86.00    267.69
     88.00    242.53
     90.00    219.71
     92.00    199.02
     94.00    180.25
     96.00    163.24
     98.00    147.82
    100.00    133.85
ENDA
