        0       1   8071.31710D0      0.00053D0                                  
        1       1   7288.97050D0      0.00011D0                                  
        1       2  13135.72158D0      0.00035D0                                  
        1       3  14949.80600D0      0.00231D0                                  
        1       6  41863.00757D0    264.00906D0                                  
        1       4  25901.00518D0    103.00286D0                                  
        1       5  32892.00440D0    100.00000D0                                  
        1       7  49135.000D0     1005.000D0                                    
        2       8  31598.00044D0      6.00868D0                                  
        2       3  14931.21475D0      0.00242D0                                  
        2       6  17595.00106D0      0.00755D0                                  
        2       5  11386.00233D0     50.00000D0                                  
        2       4   2424.91565D0      0.00006D0                                  
        2      10  48809.00203D0     70.00001D0                                  
        2       9  40939.00429D0     29.00418D0                                  
        2       7  26101.00038D0     16.00658D0                                  
        3       3  28667.000D0     2000.000D0                                    
        3       4  25323.00185D0    212.00132D0                                  
        3       9  24954.00264D0      1.00935D0                                  
        3       8  20946.00844D0      0.00095D0                                  
        3       7  14908.00141D0      0.00079D0                                  
        3       6  14086.00793D0      0.00015D0                                  
        3      10  33050.00581D0     15.00124D0                                  
        3       5  11678.00886D0     50.00000D0                                  
        3      11  40797.00310D0     19.00295D0                                  
        3      12  50096.000D0      997.000D0                                    
        4       8   4941.00672D0      0.00035D0                                  
        4       5  37996.000D0     3996.000D0                                    
        4       6  18374.00947D0      5.00448D0                                  
        4      10  12606.00670D0      0.00401D0                                  
        4       9  11347.00648D0      0.00398D0                                  
        4      14  39954.00498D0    132.00245D0                                  
        4      13  33247.00823D0     71.00590D0                                  
        4       7  15770.00034D0      0.00106D0                                  
        4      11  20174.00064D0      6.00356D0                                  
        4      12  25076.00506D0     15.00005D0                                  
        4      15  49798.000D0      503.000D0                                    
        4      16  57678.000D0      503.000D0                                    
        5       6  43603.000D0      699.000D0                                    
        5      19  59364.000D0      401.000D0                                    
        5      10  12050.00731D0      0.00386D0                                  
        5      11   8667.00931D0      0.00418D0                                  
        5      13  16562.00166D0      1.00084D0                                  
        5       7  27868.00346D0     70.00712D0                                  
        5      14  23663.00683D0     21.00213D0                                  
        5      12  13368.00899D0      1.00400D0                                  
        5       8  22921.00490D0      1.00000D0                                  
        5       9  12415.00681D0      0.00983D0                                  
        5      18  52322.000D0      801.000D0                                    
        5      15  28972.00278D0     22.00369D0                                  
        5      16  37081.00686D0     60.00000D0                                  
        5      17  43770.00816D0    170.00873D0                                  
        6      11  10650.00342D0      0.00950D0                                  
        6       8  35094.00060D0     23.00068D0                                  
        6      14   3019.89305D0      0.00380D0                                  
        6      13   3125.01129D0      0.00091D0                                  
        6      15   9873.00144D0      0.00800D0                                  
        6      10  15698.00682D0      0.00403D0                                  
        6      16  13694.00129D0      3.00578D0                                  
        6      19  32420.00666D0     98.00391D0                                  
        6      17  21038.00832D0     17.00376D0                                  
        6      12      0.00000D0      0.00000D0                                  
        6      18  24926.00178D0     30.00006D0                                  
        6      21  45960.000D0      503.000D0                                    
        6      20  37557.00610D0    239.00161D0                                  
        6       9  28910.00491D0      2.00138D0                                  
        6      22  53281.000D0      904.000D0                                    
        7      11  24303.00569D0     46.00156D0                                  
        7      14   2863.41704D0      0.00058D0                                  
        7      12  17338.00082D0      1.00000D0                                  
        7      16   5683.00658D0      2.00622D0                                  
        7      21  25251.00164D0     95.00045D0                                  
        7      17   7871.00368D0     15.00013D0                                  
        7      20  21765.00110D0     55.00590D0                                  
        7      18  13114.00466D0     18.00580D0                                  
        7      24  47543.000D0      401.000D0                                    
        7      15    101.43805D0      0.00070D0                                  
        7      19  15862.00129D0     16.00415D0                                  
        7      13   5345.00481D0      0.00270D0                                  
        7      25  56504.000D0      503.000D0                                    
        7      23  38396.000D0      298.000D0                                    
        7      10  38800.00148D0    400.00000D0                                  
        7      22  32038.00675D0    192.00213D0                                  
        8      12  32047.00954D0     18.00466D0                                  
        8      17   -808.00813D0      0.00110D0                                  
        8      20   3797.00462D0      1.00081D0                                  
        8      14   8007.00356D0      0.00109D0                                  
        8      23  14612.00960D0    121.00867D0                                  
        8      24  19070.00400D0    236.00242D0                                  
        8      15   2855.00605D0      0.00491D0                                  
        8      19   3334.00870D0      2.00825D0                                  
        8      26  35713.000D0      257.000D0                                    
        8      21   8062.00906D0     12.00016D0                                  
        8      28  53850.000D0      596.000D0                                    
        8      13  23112.00428D0      9.00526D0                                  
        8      18   -781.00522D0      0.00621D0                                  
        8      27  44954.000D0      503.000D0                                    
        8      22   9284.00152D0     56.00924D0                                  
        8      25  27442.000D0      257.000D0                                    
        8      16  -4737.00141D0      0.00016D0                                  
        9      14  32658.000D0      401.000D0                                    
        9      30  48903.000D0      596.000D0                                    
        9      18    873.00701D0      0.00534D0                                  
        9      19  -1487.00386D0      0.00069D0                                  
        9      20    -17.00404D0      0.00075D0                                  
        9      31  56289.000D0      597.000D0                                    
        9      27  24926.00860D0    376.00688D0                                  
        9      26  18271.00772D0    166.00585D0                                  
        9      16  10680.00254D0      8.00321D0                                  
        9      23   3329.00747D0     79.00541D0                                  
        9      22   2793.00378D0     12.00399D0                                  
        9      24   7559.00527D0     72.00282D0                                  
        9      21    -47.00551D0      1.00801D0                                  
        9      15  16775.00372D0    133.00793D0                                  
        9      28  33226.000D0      512.000D0                                    
        9      25  11272.00706D0     98.00238D0                                  
        9      29  40296.000D0      578.000D0                                    
        9      17   1951.00701D0      0.00248D0                                  
       10      19   1751.00440D0      0.00286D0                                  
       10      28  11244.00601D0    146.00679D0                                  
       10      27   7069.00949D0    110.00384D0                                  
       10      20  -7041.93131D0      0.00179D0                                  
       10      30  23102.00025D0    570.00734D0                                  
